  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
  128   0.609E-03 -0.141E-02 -0.188E-08  0.526E-07  0.146E-07
  129   0.570E-03 -0.134E-02 -0.188E-08  0.462E-07  0.129E-07
  130   0.533E-03 -0.126E-02 -0.188E-08  0.406E-07  0.114E-07
  131   0.497E-03 -0.119E-02 -0.919E-09  0.357E-07  0.103E-07
  132   0.465E-03 -0.112E-02 -0.671E-10  0.315E-07  0.919E-08
  133   0.435E-03 -0.105E-02 -0.671E-10  0.276E-07  0.806E-08
  134   0.408E-03 -0.986E-03 -0.671E-10  0.242E-07  0.707E-08
  135   0.382E-03 -0.923E-03 -0.671E-10  0.212E-07  0.620E-08
  136   0.357E-03 -0.865E-03 -0.671E-10  0.186E-07  0.544E-08
  137   0.334E-03 -0.811E-03 -0.671E-10  0.163E-07  0.477E-08
  138   0.313E-03 -0.760E-03 -0.671E-10  0.143E-07  0.418E-08
  139   0.293E-03 -0.712E-03 -0.671E-10  0.125E-07  0.367E-08
  140   0.274E-03 -0.667E-03 -0.671E-10  0.110E-07  0.322E-08
  141   0.257E-03 -0.625E-03 -0.671E-10  0.961E-08  0.282E-08
  142   0.240E-03 -0.586E-03 -0.671E-10  0.842E-08  0.248E-08
  143   0.225E-03 -0.549E-03 -0.671E-10  0.738E-08  0.217E-08
  144   0.210E-03 -0.515E-03 -0.671E-10  0.646E-08  0.190E-08
  145   0.196E-03 -0.483E-03 -0.671E-10  0.566E-08  0.167E-08
  146   0.184E-03 -0.453E-03 -0.671E-10  0.495E-08  0.146E-08
  147   0.172E-03 -0.425E-03 -0.671E-10  0.433E-08  0.128E-08
  148   0.160E-03 -0.399E-03 -0.671E-10  0.379E-08  0.113E-08
  149   0.150E-03 -0.374E-03 -0.671E-10  0.332E-08  0.989E-09
  150   0.140E-03 -0.352E-03 -0.671E-10  0.290E-08  0.867E-09
  151   0.131E-03 -0.330E-03 -0.671E-10  0.253E-08  0.761E-09
  152   0.122E-03 -0.310E-03 -0.671E-10  0.221E-08  0.667E-09
  153   0.114E-03 -0.292E-03 -0.671E-10  0.193E-08  0.585E-09
  154   0.106E-03 -0.274E-03 -0.671E-10  0.169E-08  0.514E-09
  155   0.989E-04 -0.258E-03 -0.671E-10  0.147E-08  0.451E-09
  156   0.920E-04 -0.243E-03 -0.324E-10  0.128E-08  0.400E-09
  157   0.858E-04 -0.228E-03 -0.205E-11  0.112E-08  0.355E-09
  158   0.800E-04 -0.213E-03 -0.205E-11  0.979E-09  0.309E-09
  159   0.747E-04 -0.199E-03 -0.205E-11  0.853E-09  0.269E-09
  160   0.697E-04 -0.186E-03 -0.205E-11  0.743E-09  0.235E-09
  161   0.651E-04 -0.173E-03 -0.205E-11  0.648E-09  0.205E-09
  162   0.607E-04 -0.162E-03 -0.205E-11  0.564E-09  0.178E-09
  163   0.567E-04 -0.151E-03 -0.205E-11  0.492E-09  0.155E-09
  164   0.529E-04 -0.141E-03 -0.205E-11  0.428E-09  0.136E-09
  165   0.493E-04 -0.132E-03 -0.205E-11  0.373E-09  0.118E-09
  166   0.460E-04 -0.123E-03 -0.205E-11  0.325E-09  0.103E-09
  167   0.429E-04 -0.115E-03 -0.205E-11  0.283E-09  0.897E-10
  168   0.400E-04 -0.108E-03 -0.205E-11  0.246E-09  0.782E-10
  169   0.373E-04 -0.101E-03 -0.205E-11  0.214E-09  0.682E-10
  170   0.348E-04 -0.941E-04 -0.205E-11  0.186E-09  0.594E-10
  171   0.325E-04 -0.879E-04 -0.205E-11  0.162E-09  0.518E-10
  172   0.303E-04 -0.822E-04 -0.205E-11  0.141E-09  0.451E-10
  173   0.282E-04 -0.769E-04 -0.205E-11  0.123E-09  0.393E-10
  174   0.263E-04 -0.719E-04 -0.205E-11  0.107E-09  0.343E-10
  175   0.245E-04 -0.673E-04 -0.205E-11  0.928E-10  0.299E-10
