  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   55  -0.799E-01  0.159E+01  0.161E+00 -0.169E+01 -0.103E-02  0.181E-04  0.324E-02  0.142E-02
   56  -0.771E-01  0.152E+01  0.152E+00 -0.163E+01 -0.103E-02  0.169E-04  0.298E-02  0.132E-02
   57  -0.743E-01  0.145E+01  0.144E+00 -0.157E+01 -0.103E-02  0.159E-04  0.274E-02  0.123E-02
   58  -0.714E-01  0.138E+01  0.135E+00 -0.152E+01 -0.103E-02  0.152E-04  0.251E-02  0.114E-02
   59  -0.685E-01  0.132E+01  0.127E+00 -0.146E+01 -0.103E-02  0.147E-04  0.230E-02  0.106E-02
   60  -0.655E-01  0.126E+01  0.120E+00 -0.141E+01 -0.103E-02  0.145E-04  0.210E-02  0.982E-03
   61  -0.625E-01  0.120E+01  0.112E+00 -0.136E+01 -0.103E-02  0.144E-04  0.192E-02  0.909E-03
   62  -0.594E-01  0.115E+01  0.105E+00 -0.130E+01 -0.103E-02  0.146E-04  0.175E-02  0.841E-03
   63  -0.563E-01  0.110E+01  0.982E-01 -0.125E+01 -0.103E-02  0.149E-04  0.159E-02  0.777E-03
   64  -0.531E-01  0.105E+01  0.916E-01 -0.121E+01 -0.103E-02  0.155E-04  0.144E-02  0.717E-03
   65  -0.498E-01  0.100E+01  0.854E-01 -0.116E+01 -0.103E-02  0.163E-04  0.131E-02  0.662E-03
   66  -0.464E-01  0.964E+00  0.794E-01 -0.111E+01 -0.103E-02  0.173E-04  0.118E-02  0.611E-03
   67  -0.429E-01  0.927E+00  0.737E-01 -0.106E+01 -0.103E-02  0.187E-04  0.107E-02  0.563E-03
   68  -0.392E-01  0.894E+00  0.683E-01 -0.102E+01 -0.103E-02  0.204E-04  0.961E-03  0.520E-03
   69  -0.354E-01  0.866E+00  0.632E-01 -0.968E+00 -0.103E-02  0.224E-04  0.865E-03  0.480E-03
   70  -0.314E-01  0.842E+00  0.584E-01 -0.921E+00 -0.103E-02  0.248E-04  0.779E-03  0.445E-03
   71  -0.272E-01  0.823E+00  0.539E-01 -0.873E+00 -0.428E-03  0.926E-05  0.568E-03  0.308E-03
   72  -0.248E-01  0.797E+00  0.505E-01 -0.827E+00 -0.938E-09  0.216E-05  0.430E-03  0.220E-03
   73  -0.238E-01  0.758E+00  0.477E-01 -0.784E+00 -0.938E-09  0.181E-05  0.390E-03  0.200E-03
   74  -0.227E-01  0.721E+00  0.451E-01 -0.743E+00 -0.938E-09  0.152E-05  0.353E-03  0.182E-03
   75  -0.217E-01  0.686E+00  0.426E-01 -0.704E+00 -0.938E-09  0.127E-05  0.320E-03  0.165E-03
   76  -0.207E-01  0.651E+00  0.403E-01 -0.666E+00 -0.938E-09  0.106E-05  0.289E-03  0.149E-03
   77  -0.198E-01  0.619E+00  0.380E-01 -0.631E+00 -0.938E-09  0.891E-06  0.261E-03  0.135E-03
   78  -0.189E-01  0.587E+00  0.359E-01 -0.597E+00 -0.938E-09  0.747E-06  0.235E-03  0.122E-03
   79  -0.180E-01  0.557E+00  0.339E-01 -0.565E+00 -0.938E-09  0.626E-06  0.212E-03  0.110E-03
   80  -0.171E-01  0.528E+00  0.320E-01 -0.534E+00 -0.938E-09  0.524E-06  0.191E-03  0.993E-04
   81  -0.163E-01  0.500E+00  0.301E-01 -0.504E+00 -0.938E-09  0.439E-06  0.171E-03  0.894E-04
   82  -0.155E-01  0.474E+00  0.284E-01 -0.477E+00 -0.938E-09  0.368E-06  0.154E-03  0.804E-04
   83  -0.147E-01  0.449E+00  0.268E-01 -0.450E+00 -0.938E-09  0.309E-06  0.138E-03  0.722E-04
   84  -0.139E-01  0.425E+00  0.253E-01 -0.425E+00 -0.938E-09  0.259E-06  0.124E-03  0.649E-04
   85  -0.132E-01  0.402E+00  0.238E-01 -0.401E+00 -0.938E-09  0.217E-06  0.111E-03  0.582E-04
   86  -0.126E-01  0.380E+00  0.224E-01 -0.379E+00 -0.938E-09  0.182E-06  0.993E-04  0.521E-04
   87  -0.119E-01  0.359E+00  0.211E-01 -0.357E+00 -0.938E-09  0.152E-06  0.888E-04  0.467E-04
   88  -0.113E-01  0.339E+00  0.199E-01 -0.337E+00 -0.938E-09  0.127E-06  0.794E-04  0.418E-04
